n_qubits,gs_sparsity,ham_sparsity,overlap,actual_overlap,Q_frac,Q_int,epsilon,seed,dim,gs_support_size,ham_nnz,gap,true_ground_energy,krab_final_energy,krab_rel_error_final,krab_final_subspace,krab_iterations_run,krab_max_iterations,krab_native_converged,krab_iter_to_target,krab_subspace_at_target,krab_n_states_to_target,krab_walltime_s,skqd_best_t,skqd_best_n_states_to_target,skqd_any_converged,skqd_best_final_energy,skqd_walltime_s,rand_median_n_states_to_target,rand_min_n_states_to_target,n_random_paths,krab_beats_skqd,advantage_ratio
10,0.1,0.1,0.8,0.05606159822354621,0.05,51,1e-06,42,1024,103,107962,1.0,-5.000000000000037,-5.000000000000009,5.684341886080759e-15,103,6,60,True,4,135,97,0.08264459786005318,0.2,129,True,-5.000000000000039,456.49809409701265,1014.0,979,20,True,1.3298969072164948
10,0.1,0.25,0.5,0.05606159822354621,0.1,102,1e-06,42,1024,103,264956,1.0,-5.000000000000019,-4.999999999999999,3.907985046680536e-15,103,4,30,True,3,192,94,0.09597702883183956,0.4,137,True,-5.000000000000034,391.5988410532009,1018.0,989,20,True,1.4574468085106382
10,0.1,0.1,0.1,0.05606159822354621,0.05,51,1e-06,42,1024,103,107962,1.0,-5.000000000000044,-5.000000000000009,7.105427357600939e-15,103,6,60,True,4,135,97,0.08206945401616395,0.2,128,True,-5.000000000000039,458.1506186169572,1017.0,972,20,True,1.3195876288659794
10,0.1,0.1,0.3,0.05606159822354621,0.1,102,1e-07,42,1024,103,107962,1.0,-4.999999999999993,-5.000000000000009,3.1974423109204553e-15,103,4,30,True,3,187,98,0.11498932098038495,0.8,137,True,-5.000000000000042,442.5449924101122,1011.0,976,20,True,1.3979591836734695
10,0.1,0.1,0.8,0.05606159822354621,0.05,51,1e-05,42,1024,103,107962,1.0,-5.000000000000003,-5.000000000000006,7.105427357600998e-16,103,7,60,True,6,140,97,0.09531716699711978,0.3,140,True,-5.000000000000049,451.24084343388677,1014.0,982,20,True,1.443298969072165
10,0.1,0.25,0.5,0.05606159822354621,0.05,51,0.0001,42,1024,103,264956,1.0,-5.000000000000018,-4.999940153525574,1.1969294888736172e-05,102,60,60,True,3,102,98,1.116864101961255,0.3,120,True,-5.000000000000034,409.8057358621154,1012.5,987,20,True,1.2244897959183674
10,0.1,0.1,0.1,0.05606159822354621,0.05,51,1e-07,42,1024,103,107962,1.0,-5.000000000000013,-5.000000000000007,1.243449787580172e-15,103,5,60,True,3,112,96,0.07987995794974267,0.4,122,True,-5.000000000000056,443.6061122030951,1015.0,978,20,True,1.2708333333333333
10,0.1,0.1,0.5,0.05606159822354621,0.05,51,1e-06,42,1024,103,107962,1.0,-5.000000000000034,-5.000000000000009,4.973799150320668e-15,103,6,60,True,4,135,97,0.09156918409280479,1.0,140,True,-5.000000000000047,392.6373598810751,1016.0,970,20,True,1.443298969072165
10,0.1,0.25,0.5,0.05606159822354621,0.05,51,1e-06,42,1024,103,264956,1.0,-5.000000000000005,-5.0000000000000036,3.552713678800497e-16,103,5,60,True,3,103,98,0.09348460799083114,0.1,134,True,-5.000000000000044,392.8810301919002,1014.5,974,20,True,1.3673469387755102
10,0.1,0.1,0.3,0.05606159822354621,0.1,102,1e-06,42,1024,103,107962,1.0,-5.000000000000016,-5.0000000000000036,2.4868995751603426e-15,103,5,30,True,3,173,100,0.11589540308341384,0.8,128,True,-5.000000000000047,444.9937235149555,1015.5,963,20,True,1.28
10,0.1,0.25,0.5,0.05606159822354621,0.1,102,1e-05,42,1024,103,264956,1.0,-5.000000000000026,-5.000000000000001,4.973799150320676e-15,103,4,30,True,3,192,94,0.09628376015461981,0.2,127,True,-5.000000000000044,398.9158884091303,1013.0,982,20,True,1.351063829787234
10,0.1,0.25,0.5,0.05606159822354621,0.05,51,1e-07,42,1024,103,264956,1.0,-5.000000000000023,-5.000000000000003,4.085620730620557e-15,103,5,60,True,3,120,100,0.12025952502153814,0.9,130,True,-5.000000000000036,410.1677378169261,1010.0,976,20,True,1.3
10,0.1,0.1,0.8,0.05606159822354621,0.05,51,0.0001,42,1024,103,107962,1.0,-5.000000000000037,-4.999932036894673,1.35926210727887e-05,102,60,60,True,6,140,97,0.7536081960424781,0.3,127,True,-5.000000000000037,437.155587076908,1017.0,1001,20,True,1.309278350515464
10,0.1,0.1,0.3,0.05606159822354621,0.1,102,0.0001,42,1024,103,107962,1.0,-5.000000000000023,-4.999932036894669,1.3592621070834746e-05,102,30,30,True,3,166,99,0.5295193940401077,0.4,144,True,-5.000000000000046,441.05870164721273,1014.5,999,20,True,1.4545454545454546
10,0.1,0.1,0.1,0.05606159822354621,0.1,102,1e-07,42,1024,103,107962,1.0,-5.000000000000017,-5.000000000000009,1.59872115546022e-15,103,4,30,True,3,187,98,0.11144260899163783,1.0,137,True,-5.000000000000037,446.1671554420609,1016.0,980,20,True,1.3979591836734695
10,0.1,0.25,0.5,0.05606159822354621,0.05,51,1e-05,42,1024,103,264956,1.0,-5.000000000000028,-5.000000000000003,5.151434834260697e-15,103,5,60,True,3,102,98,0.09450897597707808,0.4,124,True,-5.000000000000036,421.71420584013686,1015.0,979,20,True,1.2653061224489797
