Hamiltonian_Index,Number_of_Sites,Dimensions,Delta,J,Bx,By,Bz,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,25,0.0244140625,1.262447960792427e-15,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,31,0.0302734375,2.474558685369499e-16,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,39,0.0380859375,3.2557301902597043e-10,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,48,0.046875,1.7898084483935539e-06,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,60,0.05859375,1.7997584113345028e-06,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,74,0.072265625,3.1096821451682677e-06,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,92,0.08984375,0.4999379488301882,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,114,0.111328125,0.4999504496406546,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,141,0.1376953125,0.49995045033492547,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,175,0.1708984375,0.5000004507709914,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,217,0.2119140625,0.7694638751243459,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,269,0.2626953125,0.9999235220361578,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,333,0.3251953125,0.9999235220361578,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,413,0.4033203125,0.9999235220361578,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Simplified BARK,512,0.5,0.9999235220361578,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,1,0.0009765625,3.123069145619172e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,2,0.001953125,2.1033943327616306e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,3,0.0029296875,2.1185732456481853e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,4,0.00390625,3.0687288432435327e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,5,0.0048828125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,6,0.005859375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,7,0.0068359375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,9,0.0087890625,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,11,0.0107421875,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,13,0.0126953125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,16,0.015625,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,20,0.01953125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,25,0.0244140625,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,31,0.0302734375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,39,0.0380859375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,48,0.046875,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,60,0.05859375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,74,0.072265625,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,92,0.08984375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,114,0.111328125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,141,0.1376953125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,175,0.1708984375,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,217,0.2119140625,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,269,0.2626953125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,333,0.3251953125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,413,0.4033203125,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,SKQD,512,0.5,3.881501061785577e-10,4.333333333333333,0.004231770833333333,True,3427559039
