Hamiltonian_Index,Number_of_Sites,Dimensions,Delta,J,Bx,By,Bz,Ground_State_Density,Hamiltonian_Density,Gap,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,T,N_Shots,Seed
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,8,0.125,0.32666467920406117,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,9,0.140625,0.4302104894899013,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,10,0.15625,0.4653878116385117,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,11,0.171875,0.4910814023883532,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,12,0.1875,0.529746790236849,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,14,0.21875,0.8151411595598895,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,16,0.25,0.9053238839226706,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,18,0.28125,0.9531518346707545,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,20,0.3125,0.961632628882921,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,22,0.34375,0.961632628882921,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,25,0.390625,0.961632628882921,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,28,0.4375,0.961632628882921,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,SKQD,32,0.5,0.961632628882921,17.666666666666668,0.2760416666666667,True,0.02,100.0,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,1,0.015625,0.12499999999999994,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,2,0.03125,0.24999999999999967,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,3,0.046875,0.3448560912575484,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,4,0.0625,0.43971218251509714,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,5,0.078125,0.5345682737726457,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,6,0.09375,0.6294243650301943,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,7,0.109375,0.7064233134306002,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,8,0.125,0.783422261831006,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,9,0.140625,0.8126359012234272,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,10,0.15625,0.8418495406158484,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,11,0.171875,0.8710631800082695,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,12,0.1875,0.9002768194006907,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,14,0.21875,0.9378516438150366,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,16,0.25,0.9754264682293825,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,18,0.28125,0.9981394612999391,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,20,0.3125,0.9999999999999994,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,22,0.34375,0.9999999999999994,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,25,0.390625,0.9999999999999994,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,28,0.4375,0.9999999999999994,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242119,50,Ceiling,32,0.5,0.9999999999999994,32.0,0.5,False,,,1882429938
0,6,1,0.0,-0.81358,0.0,0.0,0.120636,0.3125,0.09375,0.4828823257927102,0.02921363939242116,19,BARK,1,0.015625,0.02921363939242116,20.0,0.3125,True,,,1882429938
