Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Penalty_Strength,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
8,8,2,0.85,0.1,0.48046875,0.03515625,0.04117079113911643,107.0,104.0,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,0.04117079113911643,109.0,109.0,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,0.04117079113911643,110.0,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,0.04117079113911643,113.0,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,0.0540529883376997,38.0,67.0,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,0.0540529883376997,42.0,92.0,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,0.0540529883376997,49.0,87.0,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,0.0540529883376997,59.0,101.0,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,0.0540529883376997,91.0,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,0.06475663811453512,77.0,66.0,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,0.06475663811453512,80.0,66.0,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,0.06475663811453512,86.0,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,0.06475663811453512,88.0,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,0.06475663811453512,104.0,123.0,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,0.0,inf,inf,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,0.0,inf,inf,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,0.0,inf,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,0.0,inf,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,0.0,inf,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,7.52316384526264e-37,inf,inf,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,7.52316384526264e-37,inf,inf,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,7.52316384526264e-37,inf,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,7.52316384526264e-37,inf,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,7.52316384526264e-37,inf,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,3.009265538105056e-36,inf,inf,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,3.009265538105056e-36,inf,inf,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,3.009265538105056e-36,inf,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,3.009265538105056e-36,inf,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,3.009265538105056e-36,inf,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,1.88079096131566e-35,inf,inf,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,1.88079096131566e-35,inf,inf,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,1.88079096131566e-35,inf,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,1.88079096131566e-35,inf,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,1.88079096131566e-35,inf,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,4.81482486096809e-35,inf,inf,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,4.81482486096809e-35,inf,inf,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,4.81482486096809e-35,inf,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,4.81482486096809e-35,inf,inf,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,4.81482486096809e-35,inf,inf,357396859
1,8,3,0.8,1.0,0.4609375,0.046875,0.05021769855233393,20.0,24.0,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,0.05021769855233393,21.0,72.0,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,0.05021769855233393,22.0,39.0,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,0.05021769855233393,30.0,60.0,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,0.05021769855233393,52.0,103.0,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,0.05831689022574059,11.0,37.0,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,0.05831689022574059,19.0,inf,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,0.05831689022574059,20.0,50.0,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,0.05831689022574059,30.0,68.0,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,0.05831689022574059,49.0,117.0,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,0.06674936894397905,11.0,inf,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,0.06674936894397905,21.0,inf,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,0.06674936894397905,22.0,65.0,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,0.06674936894397905,30.0,55.0,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,0.06674936894397905,56.0,119.0,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,0.269462080544043,11.0,15.0,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,0.269462080544043,21.0,25.0,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,0.269462080544043,22.0,26.0,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,0.269462080544043,30.0,43.0,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,0.269462080544043,56.0,81.0,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,0.30966531597073477,11.0,16.0,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,0.30966531597073477,19.0,26.0,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,0.30966531597073477,20.0,26.0,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,0.30966531597073477,30.0,34.0,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,0.30966531597073477,49.0,82.0,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,0.0,inf,inf,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,0.0,inf,inf,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,0.0,inf,inf,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,0.0,inf,inf,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,0.0,inf,inf,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,7.52316384526264e-37,inf,inf,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,7.52316384526264e-37,inf,inf,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,7.52316384526264e-37,inf,inf,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,7.52316384526264e-37,inf,inf,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,7.52316384526264e-37,inf,inf,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,9.449178680245083e-37,inf,inf,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,9.449178680245083e-37,inf,inf,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,9.449178680245083e-37,inf,inf,943575905
1,8,3,0.95,1.0,0.4609375,0.046875,9.449178680245083e-37,inf,inf,943575905
1,8,3,0.99,1.0,0.4609375,0.046875,9.449178680245083e-37,inf,inf,943575905
1,8,3,0.8,1.0,0.4609375,0.046875,4.70197740328915e-36,inf,inf,943575905
1,8,3,0.85,1.0,0.4609375,0.046875,4.70197740328915e-36,inf,inf,943575905
1,8,3,0.9,1.0,0.4609375,0.046875,4.70197740328915e-36,inf,inf,943575905
