Number_of_Sites,Ground_State_Density,Hamiltonian_Density,Max_Interactions,Fidelity,Overlap,BARK_Pool_Size,SKQD_Pool_Size
8,0.984375,0.05078125,1,0.85,5.922698706796137e-07,64,inf
8,0.984375,0.05078125,1,0.85,6.876391179612701e-07,214,inf
8,0.984375,0.05078125,1,0.85,1.056191393583277e-06,70,inf
8,0.984375,0.05078125,1,0.9,0.0409187088418544,71,106
8,0.984375,0.05078125,1,0.9,0.07485304470804796,135,87
8,0.984375,0.05078125,1,0.9,0.09032952872813876,135,89
8,0.984375,0.05078125,1,0.9,0.11513313578421495,71,inf
8,0.984375,0.05078125,1,0.9,0.13893786067011876,71,88
8,0.984375,0.05078125,1,0.9,3.335561531079266e-07,75,inf
8,0.984375,0.05078125,1,0.9,3.8726646461095304e-07,75,inf
8,0.984375,0.05078125,1,0.9,5.922698706796137e-07,74,inf
8,0.984375,0.05078125,1,0.9,6.876391179612701e-07,229,inf
8,0.984375,0.05078125,1,0.9,1.056191393583277e-06,75,inf
8,0.98046875,0.0625,2,0.8,0.04580573539539363,81,inf
8,0.98046875,0.0625,2,0.8,0.0571609816799942,71,85
8,0.98046875,0.0625,2,0.8,0.09242011198364679,71,93
8,0.98046875,0.0625,2,0.8,0.10174557161420565,71,67
8,0.98046875,0.0625,2,0.8,0.16917362608425784,88,76
8,0.98046875,0.0625,2,0.8,2.1197030298956675e-07,195,inf
8,0.98046875,0.0625,2,0.8,4.3202759654047203e-07,192,inf
8,0.98046875,0.0625,2,0.8,5.349586785897872e-07,193,inf
8,0.98046875,0.0625,2,0.8,6.548391725692004e-07,193,inf
8,0.98046875,0.0625,2,0.8,7.040381307573566e-07,72,inf
8,0.98046875,0.0625,2,0.85,0.04580573539539363,133,95
8,0.98046875,0.0625,2,0.85,0.0571609816799942,133,105
8,0.98046875,0.0625,2,0.85,0.09242011198364679,133,109
8,0.98046875,0.0625,2,0.85,0.10174557161420565,133,95
8,0.98046875,0.0625,2,0.85,0.16917362608425784,132,87
8,0.98046875,0.0625,2,0.85,2.1197030298956675e-07,196,inf
8,0.98046875,0.0625,2,0.85,4.3202759654047203e-07,193,inf
8,0.98046875,0.0625,2,0.85,5.349586785897872e-07,194,inf
8,0.98046875,0.0625,2,0.85,6.548391725692004e-07,194,inf
8,0.98046875,0.0625,2,0.85,7.040381307573566e-07,131,inf
8,0.98046875,0.0625,2,0.9,0.04580573539539363,146,134
